origin_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2016-05-14,2016-06-04,3,HHS Region 10,ili perc,quantile,0.4,0.4656092713363979
2016-05-14,2016-06-04,3,HHS Region 10,ili perc,quantile,0.45,0.5369833188143373
2016-05-14,2016-06-04,3,HHS Region 10,ili perc,quantile,0.5,0.6364887688143372
2016-05-14,2016-06-04,3,HHS Region 10,ili perc,quantile,0.55,0.6925156039236173
2016-05-14,2016-06-04,3,HHS Region 10,ili perc,quantile,0.6000000000000001,0.7595450427333912
2016-05-14,2016-06-04,3,HHS Region 10,ili perc,quantile,0.6500000000000001,0.8300512688143373
2016-05-14,2016-06-04,3,HHS Region 10,ili perc,quantile,0.7000000000000001,0.946533138908213
2016-05-14,2016-06-04,3,HHS Region 10,ili perc,quantile,0.7500000000000001,1.0331720204638508
2016-05-14,2016-06-04,3,HHS Region 10,ili perc,quantile,0.8,1.1829300158530187
2016-05-14,2016-06-04,3,HHS Region 10,ili perc,quantile,0.8500000000000001,1.4600120625120416
2016-05-14,2016-06-04,3,HHS Region 10,ili perc,quantile,0.9000000000000001,1.88323021519994
2016-05-14,2016-06-04,3,HHS Region 10,ili perc,quantile,0.95,2.7122179738659473
2016-05-14,2016-06-04,3,HHS Region 10,ili perc,quantile,0.975,3.4084296674502994
2016-05-14,2016-06-04,3,HHS Region 10,ili perc,quantile,0.99,4.882889366298924
2016-05-14,2016-05-21,1,HHS Region 2,ili perc,quantile,0.01,0
2016-05-14,2016-05-21,1,HHS Region 2,ili perc,quantile,0.025,0
2016-05-14,2016-05-21,1,HHS Region 2,ili perc,quantile,0.05,0
2016-05-14,2016-05-21,1,HHS Region 2,ili perc,quantile,0.1,0.19189323433839567
2016-05-14,2016-05-21,1,HHS Region 2,ili perc,quantile,0.15000000000000002,0.5008551703117841
2016-05-14,2016-05-21,1,HHS Region 2,ili perc,quantile,0.2,0.7824614943658464
2016-05-14,2016-05-21,1,HHS Region 2,ili perc,quantile,0.25,1.0274034943658463
2016-05-14,2016-05-21,1,HHS Region 2,ili perc,quantile,0.3,1.1720259840926364
2016-05-14,2016-05-21,1,HHS Region 2,ili perc,quantile,0.35000000000000003,1.290793494365846
2016-05-14,2016-05-21,1,HHS Region 2,ili perc,quantile,0.4,1.4335060055160609
2016-05-14,2016-05-21,1,HHS Region 2,ili perc,quantile,0.45,1.554174696655943
2016-05-14,2016-05-21,1,HHS Region 2,ili perc,quantile,0.5,1.6632542787389863
2016-05-14,2016-05-21,1,HHS Region 2,ili perc,quantile,0.55,1.747324090787579
2016-05-14,2016-05-21,1,HHS Region 2,ili perc,quantile,0.6000000000000001,1.8375784943658464
2016-05-14,2016-05-21,1,HHS Region 2,ili perc,quantile,0.6500000000000001,1.938179500589452
2016-05-14,2016-05-21,1,HHS Region 2,ili perc,quantile,0.7000000000000001,2.087999341325541
2016-05-14,2016-05-21,1,HHS Region 2,ili perc,quantile,0.7500000000000001,2.2701034943658467
2016-05-14,2016-05-21,1,HHS Region 2,ili perc,quantile,0.8,2.425086894365847
2016-05-14,2016-05-21,1,HHS Region 2,ili perc,quantile,0.8500000000000001,2.7266749943658475
2016-05-14,2016-05-21,1,HHS Region 2,ili perc,quantile,0.9000000000000001,3.1705434943658464
2016-05-14,2016-05-21,1,HHS Region 2,ili perc,quantile,0.95,3.947525924900934
2016-05-14,2016-05-21,1,HHS Region 2,ili perc,quantile,0.975,5.150443134435236
2016-05-14,2016-05-21,1,HHS Region 2,ili perc,quantile,0.99,5.946593494365847
